BASE_DATE,ID_KISP,CLEAN_PRICE,MAT_YLD,MAT_MOD_DUR,MAT_CONVEX
20161216,XS1388938802,94.31237528,0.03409,8.059166406,
20161217,XS1388938802,94.29748464,0.03411,8.056369574,
20161218,XS1388938802,94.29981021,0.03411,8.053599263,
20161219,XS1388938802,94.30213632,0.03411,8.050829114,
20161220,XS1388938802,94.3518131,0.03405,8.045926565,
20161221,XS1388938802,94.3518131,0.03405,8.045926565,
20161222,XS1388938802,94.498023,0.03386,8.045073303,
20161223,XS1388938802,94.59943707,0.03373,8.043567129,
20161224,XS1388938802,94.51226943,0.03384,8.040197858,
20161225,XS1388938802,94.51468642,0.03384,8.037416498,
20161226,XS1388938802,94.51710397,0.03384,8.034635306,
20161227,XS1388938802,94.62320073,0.0337,8.033466962,
20161228,XS1388938802,94.51322444,0.03385,8.029069388,
20161229,XS1388938802,94.45260174,0.03393,8.025695784,
20161230,XS1388938802,94.98033531,0.03324,8.029694195,
20161231,XS1388938802,95.02029571,0.03319,8.02744865,
20170101,XS1388938802,95.02241472,0.03319,8.024682731,
20170102,XS1388938802,95.02453431,0.03319,8.021916958,
20170103,XS1388938802,95.35722975,0.03276,8.023227458,
20170104,XS1388938802,95.31631351,0.03281,8.020360154,
20170105,XS1388938802,95.16487117,0.03301,8.015676087,
20170106,XS1388938802,95.67763753,0.03235,8.018970476,
20170107,XS1388938802,95.98537661,0.03195,8.020301629,
20170108,XS1388938802,95.98741082,0.03195,8.017522964,
20170109,XS1388938802,95.98944558,0.03195,8.01474445,
20170110,XS1388938802,95.52036534,0.03256,8.006185423,
20170124,XS1388938802,95.54000348,0.03255,7.968914074,
20170127,XS1388938802,94.75061201,0.03359,7.950911545,
20170128,XS1388938802,94.75296851,0.03359,7.948136987,
20170129,XS1388938802,94.75532555,0.03359,7.945362591,
20170130,XS1388938802,94.75768313,0.03359,7.942588356,
20170131,XS1388938802,94.76004125,0.03359,7.939814281,
20170201,XS1388938802,95.31044338,0.03287,7.943856384,
20170202,XS1388938802,95.1415,0.0310596,7.8083021,10411.06951
20170203,XS1388938802,95.3008,0.0308691,7.7947116,10392.94873
20170204,XS1388938802,95.097,0.0311182,7.8111529,10414.87058
20170205,XS1388938802,95.1,0.0311035,7.8097318,10412.97572
20170206,XS1388938802,95.11,0.0310962,7.8083112,10411.08156
20170207,XS1388938802,95.3701,0.0307886,7.7866279,10382.17059
20170208,XS1388938802,95.8866,0.0301807,7.7450179,10326.6906
20170209,XS1388938802,95.87,0.0301953,8.2615681,0
20170210,XS1388938802,96.1831,0.0298291,7.7199102,10293.21363
20170211,XS1388938802,95.7286,0.0303711,7.7560376,10341.38343
20170212,XS1388938802,95.73,0.0303638,7.7546364,10339.51522
20170213,XS1388938802,95.74,0.0303564,7.7532358,10337.64767
20170214,XS1388938802,95.6338,0.030481,7.7614621,10348.61613
20170215,XS1388938802,95.5669,0.0305615,7.7664876,10355.31681
20170216,XS1388938802,95.2456,0.0321509,7.8748425,1072261.865
20170217,XS1388938802,95.1439,0.0358423,7.8831196,1081242.8
20170218,XS1388938802,95.3513,0.0328377,8.011307,34.973267
20170219,XS1388938802,95.35346215,0.0328365,8.0085925,34.9514456
20170220,XS1388938802,95.35562351,0.0328353,8.005878,34.9296318
20170221,XS1388938802,95.689019,0.0323998,8.0058037,34.9222682
20170222,XS1388938802,95.531,0.0326123,8.2824309,0
20170223,XS1388938802,95.3899,0.0327952,7.9980964,34.8661861
20170224,XS1388938802,95.7034,0.0323926,8.2661707,0
20170225,XS1388938802,95.9862,0.032019,8.2414752,0
20170226,XS1388938802,95.9890556,0.0320117,8.2406263,0
20170227,XS1388938802,95.9915833,0.0320117,8.2397775,0
20170228,XS1388938802,96.3287,0.0315869,7.6978343,5131.889562
20170301,XS1388938802,96.093,0.0318945,8.2287595,0
20170302,XS1388938802,96.0942222,0.0318872,8.2279132,0
20170303,XS1388938802,95.2864,0.0329492,8.2961734,0
20170304,XS1388938802,95.2236,0.0330371,7.7825049,5188.336619
20170305,XS1388938802,95.2218056,0.0330371,7.7816974,5187.798298
20170306,XS1388938802,95.2243333,0.0330371,7.7808901,5187.260089
20170307,XS1388938802,95.2346,0.0330225,7.779276,-5186.184006
20170308,XS1388938802,95.0928,0.0332129,7.790589,5193.725979
20170309,XS1388938802,94.966,0.033384,7.9552873,34.5296576
20170310,XS1388938802,94.1877,0.0344237,7.946296,34.4736887
20170311,XS1388938802,94.1877,0.0344258,7.9433084,34.4504915
20170312,XS1388938802,94.1903108,0.0344247,7.9405928,34.4288498
20170313,XS1388938802,94.1926978,0.0344236,7.9378776,34.4072168
20170314,XS1388938802,94.4768,0.034045,7.9373843,34.3975524
20170315,XS1388938802,94.1616,0.0344692,7.9319433,34.360881
20170316,XS1388938802,94.3628,0.0342016,7.9311919,34.3502657
20170317,XS1388938802,95.1919,0.0330986,7.9348768,34.3630623
20170318,XS1388938802,94.8628,0.0335378,7.9294982,34.3270652
20170319,XS1388938802,94.86540093,0.0335365,7.9267857,34.3054775
20170320,XS1388938802,94.86776942,0.0335353,7.9240735,34.2838987
20170321,XS1388938802,95.1777,0.0331246,7.924037,34.277029
20170322,XS1388938802,95.286,0.0329826,7.9221347,34.2598452
20170323,XS1388938802,95.7794,0.0323316,7.9235435,34.2608807
20170324,XS1388938802,95.801,0.0323047,7.9209656,34.2401169
20170325,XS1388938802,95.6169,0.0325494,7.9167472,34.2103499
